"","hpv_1","uptake_mean","uptake_max"
"1",10.7,0.0380800000000001,0.0380800000000001
"2",11.5,0.0368000000000002,0.0368000000000002
"3",12.1,0.03568,0.03568
"4",13.8,0.0359999999999999,0.0359999999999999
"5",14.3,0.03232,0.03232
"6",14.6,0.0335999999999999,0.0335999999999999
"7",15.6,0.0366399999999999,0.0366399999999999
"8",15.8,0.0355199999999996,0.0355199999999996
"9",15.9,0.03536,0.03536
"10",16.5,0.0348799999999997,0.0348799999999997
"11",16.7,0.0339199999999998,0.0339199999999998
"12",16.9,0.0358399999999996,0.0358399999999996
"13",17.3,0.0347200000000001,0.0347200000000001
"14",18.3,0.0339199999999998,0.0339199999999998
"15",18.6,0.0364800000000002,0.0364800000000002
"16",19.3,0.04072,0.0409599999999998
"17",19.9,0.0382399999999997,0.0382399999999997
"18",20,0.0386666666666666,0.0396799999999999
"19",20.1,0.0377600000000001,0.0377600000000001
"20",20.3,0.0379199999999997,0.0379199999999997
"21",20.4,0.03872,0.03872
"22",20.7,0.0376799999999999,0.0388799999999996
"23",20.9,0.0366400000000002,0.0368000000000002
"24",21.1,0.0376000000000001,0.03872
"25",21.2,0.0398400000000002,0.0398400000000002
"26",21.4,0.0355199999999996,0.0355199999999996
"27",21.7,0.03872,0.03872
"28",24,0.0374400000000001,0.0374400000000001
"29",25.3,0.0391999999999996,0.0391999999999996
"30",26.6,0.0372799999999998,0.0372799999999998
"31",27.7,0.0401600000000002,0.0401600000000002
"32",28.8,0.0391999999999996,0.0391999999999996
"33",29.6,0.0396000000000001,0.0414400000000001
"34",30.3,0.0379999999999999,0.0391999999999996
"35",30.4,0.0396799999999999,0.0396799999999999
"36",30.6,0.0411199999999997,0.0433599999999998
"37",30.9,0.0381599999999998,0.0388799999999996
"38",31.8,0.0361599999999999,0.0380800000000001
"39",32.1,0.0409599999999998,0.0409599999999998
"40",32.4,0.0468800000000002,0.0468800000000002
"41",34.3,0.0448,0.0448
"42",34.4,0.0438400000000001,0.0438400000000001
"43",34.6,0.04176,0.04176
"44",35.1,0.0403199999999998,0.0403199999999998
"45",35.2,0.0449599999999997,0.0449599999999997
"46",35.4,0.04544,0.04544
"47",35.6,0.04512,0.04512
"48",36.4,0.04544,0.04544
"49",36.9,0.0444800000000001,0.0444800000000001
"50",37.1,0.04544,0.04544
"51",37.3,0.0436799999999998,0.0436799999999998
"52",37.6,0.0427199999999999,0.0427199999999999
"53",37.9,0.0446399999999997,0.0446399999999997
"54",38.5,0.0444800000000001,0.0444800000000001
"55",38.9,0.0433599999999998,0.0433599999999998
"56",39.3,0.0448,0.0448
"57",39.9,0.0483199999999997,0.0483199999999997
"58",41,0.04648,0.0478400000000001
"59",41.1,0.0468800000000002,0.0468800000000002
"60",41.2,0.0479999999999997,0.0479999999999997
"61",41.4,0.0483199999999997,0.0483199999999997
"62",42,0.0473599999999998,0.0473599999999998
"63",42.6,0.0459199999999996,0.0459199999999996
"64",43.2,0.0497599999999998,0.0497599999999998
"65",43.6,0.0452799999999996,0.0452799999999996
"66",44,0.0463999999999999,0.0463999999999999
"67",44.5,0.0463999999999999,0.0463999999999999
"68",45.3,0.0460799999999999,0.0460799999999999
"69",46,0.0467199999999998,0.0467199999999998
"70",46.5,0.0478400000000001,0.0478400000000001
"71",46.8,0.0486399999999996,0.0486399999999996
"72",47.8,0.0473599999999998,0.0473599999999998
"73",49.1,0.0491199999999999,0.0491199999999999
"74",49.5,0.0459199999999996,0.0459199999999996
"75",50.3,0.0507199999999997,0.0507199999999997
