"hpv_1","uptake_max","uptake_mean","uptake_min"
9,0.033333333333333,0.0296242972713561,0.0254901960784311
10,0.0361853832442069,0.0299651784603905,0.0240641711229946
11,0.0315508021390373,0.0297682709447416,0.0279857397504459
12,0.0345811051693404,0.032241532976827,0.0299465240641708
13,0.0324420677361856,0.0308021390374332,0.0286987522281642
14,0.0345811051693404,0.0329768270944742,0.0313725490196081
15,0.033333333333333,0.033333333333333,0.033333333333333
16,0.0338680926916221,0.0318478906714201,0.0286987522281642
17,0.0320855614973264,0.0320855614973264,0.0320855614973264
18,0.0777183600713012,0.0551820728291317,0.0301247771836008
19,0.090730837789661,0.0659536541889482,0.0297682709447416
20,0.090909090909091,0.066805926916221,0.036007130124777
21,0.0878787878787879,0.070451117509941,0.0363636363636361
22,0.0873440285204988,0.0585688820982939,0.0342245989304813
23,0.0456327985739754,0.0409982174688057,0.0354723707664887
25,0.090730837789661,0.090730837789661,0.090730837789661
26,0.0948306595365415,0.0948306595365415,0.0948306595365415
27,0.0914438502673793,0.0914438502673793,0.0914438502673793
28,0.0950089126559715,0.0950089126559715,0.0950089126559715
29,0.103386809269162,0.099910873440285,0.0964349376114081
30,0.259180035650624,0.209197473455785,0.110873440285205
31,0.257219251336899,0.257219251336899,0.257219251336899
32,0.257754010695187,0.257754010695187,0.257754010695187
33,0.256862745098039,0.256862745098039,0.256862745098039
35,0.262210338680927,0.256922162804515,0.249732620320855
36,0.260249554367201,0.259180035650624,0.257397504456328
37,0.261319073083779,0.260219845513963,0.258467023172905
38,0.263636363636363,0.260213903743316,0.25650623885918
39,0.261675579322638,0.261229946524064,0.26078431372549
40,0.264705882352941,0.261476954418131,0.254188948306596
41,0.267379679144385,0.263700025464731,0.261497326203208
42,0.266131907308378,0.263921568627451,0.261319073083779
43,0.263279857397504,0.26301247771836,0.262745098039216
44,0.262745098039216,0.262121212121212,0.261497326203208
45,0.261853832442068,0.261853832442068,0.261853832442068
46,0.26524064171123,0.26524064171123,0.26524064171123
47,0.265953654188948,0.264973262032085,0.263992869875222
48,0.265597147950089,0.265597147950089,0.265597147950089
49,0.268270944741533,0.267023172905526,0.265775401069519
50,0.270944741532977,0.267173280795572,0.262032085561498
51,0.270944741532977,0.268504044974633,0.265597147950089
52,0.268805704099822,0.266221033868092,0.263636363636363
53,0.268805704099822,0.266354723707665,0.263992869875222
55,0.272549019607843,0.271836007130125,0.271122994652406
56,0.271836007130125,0.270766488413547,0.269875222816399
57,0.269875222816399,0.269875222816399,0.269875222816399
59,0.274509803921568,0.272311348781937,0.268092691622104
60,0.277005347593583,0.273532112569546,0.268449197860963
61,0.277718360071301,0.274732620320855,0.266488413547237
62,0.274153297682709,0.274153297682709,0.274153297682709
63,0.277361853832442,0.273618538324421,0.26934046345811
64,0.277005347593583,0.276173499702911,0.275044563279857
65,0.275579322638146,0.273351158645276,0.271122994652406
66,0.275757575757576,0.275757575757576,0.275757575757576
68,0.277183600713012,0.277183600713012,0.277183600713012
69,0.280748663101604,0.27807486631016,0.275222816399287
70,0.283957219251337,0.279884135472371,0.276114081996435
71,0.2825311942959,0.279010695187166,0.275757575757576
72,0.282174688057041,0.282174688057041,0.282174688057041
73,0.284135472370767,0.28235294117647,0.280570409982174
74,0.284491978609626,0.283363042186572,0.281105169340464
75,0.280748663101604,0.280659536541889,0.280570409982174
76,0.279679144385027,0.279679144385027,0.279679144385027
77,0.285561497326203,0.285026737967915,0.284491978609626
78,0.284848484848485,0.282590612002377,0.280392156862745
79,0.287344028520499,0.28544266191325,0.282887700534759
80,0.288413547237076,0.285282691165044,0.279857397504456
81,0.288413547237076,0.284690037631214,0.279500891265597
82,0.287344028520499,0.283660130718954,0.281283422459893
83,0.287522281639929,0.286363636363636,0.285204991087344
86,0.288948306595365,0.286512180629827,0.282174688057041
87,0.290196078431373,0.287225193107546,0.285026737967914
88,0.289483065953655,0.289126559714795,0.288770053475935
90,0.296969696969697,0.292516732250362,0.285739750445633
91,0.295187165775401,0.292434145375322,0.288591800356506
92,0.294295900178253,0.294295900178253,0.294295900178253
93,0.297326203208556,0.294723707664884,0.292156862745098
94,0.295900178253119,0.29536541889483,0.294652406417112
95,0.303386809269162,0.297264500205677,0.292691622103387
96,0.294652406417112,0.294652406417112,0.294652406417112
